"","game_id_string","year_released","romhack","number_platforms","genre","developer","publisher","discord","require_video","emulators_allowed","number_of_runs"
"1","2685e76p","2012","FALSE","4","pl2ke21x","4ep80o6r","z6qzq769","TRUE","TRUE","FALSE","397"
"2","2685n56p","2010","TRUE","1",NA,NA,NA,"TRUE","TRUE","FALSE","168"
"3","2685v96p","1999","FALSE","3","o75mrgn3","5k62lozx","kd6jyg6p","TRUE","TRUE","TRUE","146"
"4","2687w5dp","1994","FALSE","1","yq5wvrng",NA,NA,"TRUE","TRUE","TRUE","47"
"5","2689591p","2013","FALSE","2","p92dvm2l","4zwww0zk","kr21qvne","TRUE","TRUE","FALSE","2946"
"6","268e25y6","2019","FALSE","3",NA,"nerlp1ej","93nkme6w","TRUE","TRUE","TRUE","31"
"7","268e2gk6","2019","FALSE","1","92ddpm2l","rzjgkozl",NA,"TRUE","TRUE","TRUE","83"
"8","268e4r56","2006","FALSE","1","qdnqkn8k","qe5lgk6v","4np8y2rl","TRUE","TRUE","TRUE","7"
"9","268e7n76","2007","FALSE","3",NA,NA,NA,"TRUE","TRUE","TRUE","1359"
"10","268e9oo6","2011","FALSE","3","q5w4wmng","ne4d11em","qkr23j6e","TRUE","FALSE","TRUE","716"
"11","268ekxy6","2019","FALSE","4","qdnqkn8k","yz8013ew","3nk0vxrw","TRUE","TRUE","TRUE","2843"
"12","268erm76","2020","TRUE","1",NA,NA,NA,"TRUE","TRUE","FALSE","22"
"13","268ex4o6","2018","FALSE","3",NA,"myzo72eq","qkr2jne4","TRUE","TRUE","FALSE","869"
"14","268exwy6","2019","TRUE","8",NA,NA,NA,"TRUE","TRUE","FALSE","147"
"15","268ml5dp","1989","FALSE","3",NA,NA,NA,"TRUE","TRUE","TRUE","33"
"16","268n096p","2016","FALSE","4","wr2l1n7p","qleqypzw","8060dpnl","TRUE","TRUE","TRUE","306"
"17","268nj56p","2003","FALSE","3",NA,NA,NA,"TRUE","TRUE","TRUE","39"
"18","268q8o6p","2017","FALSE","2","wr2l8p57","ge0k43zp","krykz56v","TRUE","TRUE","TRUE","4681"
"19","268vgkdp","2003","FALSE","10",NA,NA,NA,"TRUE","TRUE","TRUE","448"
"20","268weko6","2021","TRUE","3","qdnqkn8k","nzmj17z0",NA,"TRUE","TRUE","TRUE","1747"
"21","268wlo6p","2014","FALSE","3","o75mg539","p6xm72z1","93nkpq6w","TRUE","TRUE","TRUE","547"
"22","268wv4k6","2022","TRUE","1","qdnqekn8","p6x95561","dnlm49rl","TRUE","TRUE","TRUE","197"
"23","268yl7dp","2017","FALSE","1",NA,NA,NA,"FALSE","TRUE","TRUE","51"
"24","268zok6p","2011","FALSE","5","el286onr","nw63pmzx","8060zyrl","TRUE","TRUE","FALSE","168"
"25","29d30dlp","2002","FALSE","5","61n9q2m0","l4epp3er","w4np8drl","TRUE","TRUE","TRUE","3946"
"26","29d30ydl","2001","FALSE","3","oq27w1nl","3nerml6j","8060ynlv","TRUE","FALSE","TRUE","119"
"27","369530dl","2010","FALSE","1",NA,"nergn16j",NA,"TRUE","FALSE","TRUE","407"
"28","3695w2dl","1985","FALSE","4",NA,"mznd4d6r","m0rvylrx","TRUE","TRUE","TRUE","211"
"29","3697n81l","1998","FALSE","2","p92d9z5l","ner01oej","0rvy1lrx","TRUE","TRUE","TRUE","296"
"30","3697y21l","2015","FALSE","7",NA,"l4ep47er",NA,"TRUE","TRUE","TRUE","317"
"31","3698ngdl","2014","FALSE","1",NA,"3zyqrde4",NA,"TRUE","FALSE","TRUE","879"
"32","3698wngd","2021","FALSE","7","q27wpxnl","ge02pxzp","9nellqr5","TRUE","TRUE","TRUE","142"
"33","369e88dl","2015","FALSE","1",NA,NA,NA,"TRUE","TRUE","TRUE","296"
"34","369g901l","2006","FALSE","5","vx5ey1n4","yz8n52zw","w4npw2rl","TRUE","FALSE","TRUE","137"
"35","369p7el1","2018","TRUE","5","oy5gp5e3","p6x1q7z1","l6m8jgn9","TRUE","TRUE","FALSE","700"
"36","369p9231","2019","FALSE","1","94n4pn0w","3zyw2ve4","060d1ynl","TRUE","TRUE","TRUE","311"
"37","369p9l1l","2002","FALSE","2","oq27y12l","xv6dvx62","m0rvylrx","TRUE","TRUE","FALSE","516"
"38","369p9o21","2014","TRUE","6","y72yd2do","neryk16j",NA,"TRUE","TRUE","TRUE","2363"
"39","369pky81","2012","TRUE","9",NA,"yzom2keq",NA,"TRUE","TRUE","TRUE","1317"
"40","369pm331","1998","TRUE","4",NA,NA,NA,"TRUE","TRUE","TRUE","404"
"41","369pp381","2017","TRUE","2","7d5owlnw","rzjvw1zl","m0rvylrx","TRUE","TRUE","FALSE","1659"
"42","369pqq31","2018","TRUE","8","1g2z0wnl","yge0m26p","5p6z2l63","TRUE","TRUE","FALSE","107"
"43","369prm21","2020","FALSE","1","qdnqkn8k",NA,"kry97env","TRUE","TRUE","FALSE","49"
"44","369pyw31","2018","FALSE","4","4n4mqjn0","p6x1dkz1","dnlxg4nl","TRUE","TRUE","TRUE","28"
"45","369v401l","2003","FALSE","5","qdnqkn8k","81e792z7","k564lgrw","TRUE","TRUE","TRUE","403"
"46","369vyg1l","2015","FALSE","7","qdnqekn8","y4zwm26k","z6qqqg69","TRUE","TRUE","TRUE","115"
"47","369wk8dl","1984","FALSE","1","yq5wkm5g",NA,NA,"TRUE","TRUE","TRUE","206"
"48","3dx23z51","1998","TRUE","2","pm21pl24","7pe143eo","93nkqxnw","TRUE","FALSE","TRUE","61"
"49","3dx28w41","2004","TRUE","4","oy5goxne","4ep8y76r","19nex7r5","TRUE","TRUE","FALSE","375"
"50","3dx29qg1","2016","FALSE","0",NA,NA,NA,"TRUE","TRUE","TRUE","95"
"51","3dx2lw41","2018","FALSE","5","g2zoqwnl","1zkmv26j","gnozop6o","TRUE","TRUE","FALSE","855"
"52","3dx2oz41","2016","TRUE","4",NA,"k62d97ex",NA,"TRUE","TRUE","TRUE","436"
"53","3dx2pk41","2020","TRUE","3",NA,NA,NA,"TRUE","TRUE","TRUE","299"
"54","3dx2w9y1","2021","FALSE","7","oy5gp5e3","rzj2yoel","emr5eryo","TRUE","TRUE","FALSE","309"
"55","3dx2zvp1","2017","FALSE","2","jp23ox26","1e779ke7",NA,"TRUE","TRUE","TRUE","162"
"56","3dx3yydy","2011","FALSE","10","9rnvvrnq","ynzmy5z0","5p6zpr3w","TRUE","TRUE","FALSE","538"
"57","3dx57v1y","2014","FALSE","9",NA,NA,NA,"TRUE","TRUE","FALSE","310"
"58","3dx5pp1y","2012","TRUE","1",NA,NA,NA,"TRUE","TRUE","FALSE","26"
"59","3dx94ydy","2005","FALSE","3","y72yd2do","4nel5vz2","p6zd0yr3","TRUE","TRUE","TRUE","143"
"60","3dxe951y","2016","TRUE","3",NA,NA,NA,"TRUE","TRUE","TRUE","2538"
"61","3dxk35v1","2021","FALSE","1","650k9xnm","k62ov7zx","93nkd06w","TRUE","TRUE","TRUE","151"
"62","3dxk7p1y","1999","FALSE","3",NA,NA,NA,"TRUE","TRUE","TRUE","437"
"63","3dxkz0v1","2021","FALSE","1",NA,NA,NA,"TRUE","FALSE","FALSE","3928"
"64","3dxl5ydy","2010","FALSE","2","wr2l6127","rzj7vpzl","krx29kn9","TRUE","TRUE","TRUE","615"
"65","3dxqnp1y","2014","FALSE","7",NA,NA,NA,"TRUE","FALSE","TRUE","40"
"66","3dxz351y","2012","FALSE","7","9rnvvrnq","l4eprzro","kd6jv6p0","TRUE","TRUE","FALSE","1383"
"67","3dxz7p1y","2006","FALSE","4",NA,NA,NA,"TRUE","FALSE","TRUE","3953"
"68","3dxzjy1y","1995","FALSE","3","1n90pvnm","myzo3pzq","k564wnw1","TRUE","TRUE","TRUE","365"
"69","46w0n91r","2017","FALSE","1","wr2l1n7p","xv6dvx62",NA,"TRUE","FALSE","FALSE","10000"
"70","46w0rn1r","2013","FALSE","3",NA,NA,NA,"TRUE","FALSE","TRUE","184"
"71","46w23p96","2021","TRUE","1","qdnqkn8k",NA,NA,"TRUE","TRUE","TRUE","73"
"72","46w29l6r","2008","FALSE","6","qdnqekn8","pe1n236o","8060ynlv","TRUE","TRUE","FALSE","214"
"73","46w2l76r","1990","FALSE","5",NA,NA,NA,"TRUE","TRUE","TRUE","1220"
"74","46w2wo76","2022","FALSE","1",NA,NA,NA,"TRUE","TRUE","TRUE","940"
"75","46w305q1","2020","FALSE","1","r2rok62z","4eprl3zr","dq6djl6z","TRUE","TRUE","FALSE","757"
"76","46w33031","2001","TRUE","2","9rnvvrnq","leqml3zw","m0rvylrx","TRUE","FALSE","TRUE","501"
"77","46w33ln1","2017","FALSE","3","qdnqekn8","y4zwm26k","z6qqqg69","TRUE","TRUE","FALSE","160"
"78","46w33n31","2007","FALSE","1","oy5gwd2e","ge001xep","2n95d56x","TRUE","TRUE","FALSE","142"
"79","46w33wn1","2018","FALSE","6","94n4pn0w","myzo3pzq","k564wnw1","TRUE","FALSE","FALSE","4887"
"80","46w382n1","2012","FALSE","2",NA,NA,NA,"TRUE","TRUE","TRUE","1285"
"81","46w3831r","1990","FALSE","1","qdnqkn8k","myzo3pzq","k564wnw1","TRUE","TRUE","TRUE","157"
"82","46w38791","2020","FALSE","1",NA,NA,NA,"TRUE","TRUE","FALSE","43"
"83","46w38g91","2019","FALSE","1",NA,NA,NA,"TRUE","TRUE","FALSE","115"
"84","46w38o31","2019","FALSE","2","qdnqkn8k",NA,NA,"TRUE","TRUE","TRUE","397"
"85","46w39on1","2018","FALSE","1","el28onrz","yz8jk96w","m0rvylrx","TRUE","FALSE","FALSE","385"
"86","46w3j571","2008","TRUE","3","wr2l1n7p","leqml3zw","m0rvylrx","TRUE","FALSE","FALSE","947"
"87","46w3jon1","2017","FALSE","6","4n4ezd50","w63n5mex","lkryl5nv","TRUE","TRUE","TRUE","584"
"88","46w3ln1r","2013","FALSE","1","y72yd2do","rzj0016l","m0rvjerx","TRUE","FALSE","FALSE","801"
"89","46w3ovl1","2019","FALSE","8","qdnqekn8","4zww9qzk","z6qqqg69","TRUE","TRUE","FALSE","288"
"90","46w3w331","2019","FALSE","9","pm211l24","myzo3pzq","k564wnw1","TRUE","TRUE","FALSE","1017"
"91","46w3xjq1","2009","TRUE","3",NA,NA,NA,"TRUE","TRUE","TRUE","186"
"92","46w5r96r","2003","FALSE","7",NA,NA,NA,"TRUE","TRUE","TRUE","103"
"93","46w8k76r","1989","FALSE","2","el28onrz","ner0y5ej","gxrw5lrl","TRUE","TRUE","TRUE","77"
"94","46we0q6r","2006","FALSE","6",NA,"4nel1l62","krx1pp69","TRUE","TRUE","TRUE","107"
"95","46wez36r","2010","FALSE","5","m65jxlnk","2p6xmxz1","4dnll7nl","TRUE","TRUE","FALSE","48"
"96","46wj4ndr","2004","FALSE","1",NA,NA,NA,"TRUE","FALSE","TRUE","198"
"97","46wjv7dr","2007","TRUE","1",NA,NA,NA,"TRUE","TRUE","TRUE","154"
"98","46wlwl1r","1997","FALSE","9","y45xk8nd","dv69qnex","2l6mj69e","TRUE","TRUE","TRUE","1221"
"99","46wnl36r","1997","FALSE","3","y72yd2do","dv694xzx","emr5o86y","TRUE","TRUE","TRUE","77"
"100","46wr391r","1988","FALSE","6",NA,"2jevn26k","2l6mj69e","TRUE","TRUE","TRUE","1285"
"101","46wron1r","2012","FALSE","6","y72yd2do","1zk90nej",NA,"TRUE","TRUE","TRUE","83"
"102","46wryl1r","2013","FALSE","6","oq27412l","yz834xew","0rv1eerx","TRUE","TRUE","FALSE","368"
"103","46ww476r","2015","TRUE","4","wr2l1n7p","qleqn3ew","2l6mwjn9","TRUE","TRUE","FALSE","685"
"104","46wy8qdr","2004","FALSE","5","wr2l1n7p","yzo3opzq","8060ynlv","TRUE","TRUE","TRUE","966"
"105","4d705g17","2013","TRUE","1",NA,NA,NA,"TRUE","FALSE","TRUE","73"
"106","4d70zr17","2002","FALSE","3","9rnvvrnq","3zyl9164","m0rvylrx","TRUE","FALSE","TRUE","1320"
"107","4d73kz17","2002","FALSE","2","wr2l1n7p","yzo3opzq","8060ynlv","TRUE","TRUE","TRUE","170"
"108","4d743rd7","2011","TRUE","1",NA,NA,NA,"TRUE","TRUE","FALSE","54"
"109","4d74qgd7","2014","FALSE","7","qdnqekn8","y4zwm26k","z6qqqg69","TRUE","TRUE","TRUE","282"
"110","4d74xld7","2007","FALSE","1",NA,NA,NA,"TRUE","FALSE","FALSE","608"
"111","4d7902z1","2017","FALSE","2","el28onrz","qe5pkpzv","yzr1vgr8","TRUE","TRUE","TRUE","82"
"112","4d790nl1","2018","FALSE","1",NA,NA,NA,"TRUE","TRUE","FALSE","176"
"113","4d792331","2020","TRUE","3",NA,NA,NA,"TRUE","TRUE","TRUE","664"
"114","4d794qg1","2009","TRUE","7",NA,"3zy24je4",NA,"TRUE","TRUE","TRUE","1014"
"115","4d79l431","2012","TRUE","1","vx5e77n4","nzml5v60","1ng08o6l","TRUE","TRUE","FALSE","175"
"116","4d79mmr1","2019","FALSE","1",NA,NA,NA,"TRUE","TRUE","TRUE","625"
"117","4d7gyld7","1977","FALSE","1","mr2rk65z","mznx2ler","q6dwzwnz","TRUE","FALSE","TRUE","78"
"118","4d7nw367","1995","FALSE","5","qdnqekn8","ge0ny3zp",NA,"TRUE","TRUE","TRUE","365"
"119","4d7nzg67","2014","FALSE","4",NA,NA,NA,"TRUE","TRUE","FALSE","1407"
"120","4d7o0317","2013","TRUE","1",NA,"leqm52zw","19ne5jn5","TRUE","TRUE","FALSE","21"
"121","4d7onz17","2016","FALSE","4","qdnqkn8k","1e778le7","1z6qeq69","TRUE","TRUE","TRUE","878"
"122","4d7p4rd7","2015","FALSE","6","9rnvvrnq","2jevm2ek","8060zyrl","TRUE","TRUE","FALSE","1136"
"123","4d7rjl17","2017","TRUE","5","o75mg539","4epyj9er","m0rv38nx","TRUE","TRUE","FALSE","699"
"124","4d7y5zd7","2017","FALSE","7","m65jk2k0","4ep8y76r","dnllzgnl","TRUE","TRUE","FALSE","2542"
"125","4d7znl67","2003","FALSE","6",NA,NA,NA,"TRUE","TRUE","TRUE","152"
"126","4pd00lde","2004","FALSE","5",NA,NA,NA,"TRUE","TRUE","TRUE","568"
"127","4pd03de5","1994","FALSE","6","qdnqkn8k","5mzn8lzr","m0rvylrx","TRUE","FALSE","TRUE","1957"
"128","4pd05v1e","2003","FALSE","6",NA,NA,NA,"TRUE","TRUE","TRUE","152"
"129","4pd0k21e","2002","FALSE","8","jp23x26k",NA,NA,"TRUE","TRUE","FALSE","2265"
"130","4pdver6w","2007","FALSE","9","jp23x26k",NA,NA,"TRUE","TRUE","FALSE","1929"
"131","4pdvgodw","2003","FALSE","1",NA,NA,NA,"TRUE","FALSE","TRUE","2946"
"132","576rzld8","2002","FALSE","4",NA,NA,NA,"TRUE","FALSE","TRUE","1146"
"133","76r35l68","2012","FALSE","9","pm21pl24","l1zkdo6j","w4npp2nl","TRUE","TRUE","FALSE","1229"
"134","76r3lrq6","2021","TRUE","3",NA,NA,NA,"TRUE","TRUE","TRUE","892"
"135","76r3q468","1998","FALSE","1",NA,NA,NA,"TRUE","FALSE","TRUE","642"
"136","76r3y856","2017","TRUE","3",NA,NA,NA,"TRUE","TRUE","FALSE","718"
"137","76r4wl18","1996","FALSE","15",NA,NA,NA,"TRUE","TRUE","TRUE","465"
"138","76r73418","1993","FALSE","1",NA,NA,NA,"TRUE","TRUE","TRUE","49"
"139","76r7yv18","2004","FALSE","3","qdnqqrn8","leqm8pzw","m0rvylrx","TRUE","TRUE","TRUE","105"
"140","76r89ed8","2017","FALSE","2","vx5ey1n4","4zwq1dzk","9ne0vkr5","TRUE","TRUE","TRUE","49"
"141","76r98468","1999","FALSE","10","yq5w382g","myzo5q6q","x36374nk","TRUE","TRUE","TRUE","667"
"142","76revld8","2016","FALSE","1","94n4pn0w","jev155ek",NA,"TRUE","FALSE","FALSE","160"
"143","76rg4l18","2011","FALSE","2",NA,NA,NA,"TRUE","TRUE","TRUE","487"
"144","76rg9l18","2003","FALSE","4","el28lrnr","vego3oz0","2l6mj69e","TRUE","TRUE","TRUE","261"
"145","76rjrq18","2013","FALSE","1",NA,NA,NA,"TRUE","TRUE","TRUE","92"
"146","76rkkvd8","2009","TRUE","5",NA,NA,NA,"TRUE","TRUE","TRUE","153"
"147","76rkwed8","2017","FALSE","5","m65jxlnk","p6x8rke1","lkry9gnv","TRUE","TRUE","FALSE","1301"
"148","76royl68","1996","TRUE","16",NA,NA,NA,"TRUE","TRUE","TRUE","349"
"149","76rpml18","2017","FALSE","0","vx5evrn4","1zk9p7ej","kryv9lrv","TRUE","TRUE","TRUE","255"
"150","76rq8vd8","2017","FALSE","2",NA,"leqo0p6w",NA,"TRUE","TRUE","FALSE","160"
"151","76rxpzv6","2014","FALSE","2",NA,NA,NA,"TRUE","TRUE","TRUE","44"
"152","8m1z4m60","2009","FALSE","2","jp23x26k",NA,NA,"TRUE","TRUE","TRUE","89"
"153","8m1z8x10","2008","FALSE","3","qdnqkn8k","5yz8ngzw","m0rvylrx","TRUE","FALSE","TRUE","1784"
"154","8m1zpm60","2001","FALSE","3","9rnvvrnq","yge0jp6p","8060ynlv","TRUE","TRUE","TRUE","447"
"155","8m1zzm10","2005","FALSE","3",NA,"nelvr562","80607ynl","TRUE","TRUE","TRUE","628"
"156","8nd20r60","2006","FALSE","7","94n4ep50","l1zk9oej","lkry9gnv","TRUE","TRUE","FALSE","1101"
"157","8nd2o560","2007","FALSE","3",NA,"nelvr562","80607ynl","TRUE","TRUE","TRUE","575"
"158","946w031r","2010","FALSE","6","o75mg539","ynzmy5z0","8060zyrl","TRUE","FALSE","FALSE","1541"
"159","946w836r","2002","FALSE","3","jp23x26k",NA,NA,"TRUE","TRUE","TRUE","140"
"160","946wk96r","2014","FALSE","6",NA,NA,NA,"TRUE","TRUE","TRUE","117"
"161","9d3000dl","2011","TRUE","2",NA,NA,NA,"TRUE","TRUE","TRUE","315"
"162","9d33ygdl","2012","TRUE","11",NA,NA,NA,"TRUE","TRUE","TRUE","32"
"163","9d3835g1","2021","FALSE","8","61n9yz5m","mzn82ozr","mr53lw6y","TRUE","TRUE","TRUE","1113"
"164","9d385g1l","1999","FALSE","2","jp23ox26","5mzn8lzr","m0rvylrx","TRUE","FALSE","FALSE","1909"
"165","9d385vg1","2022","FALSE","4","o75mg539","1e7d11e7","d6j82gnp","TRUE","TRUE","TRUE","811"
"166","9d38e2g1","2017","FALSE","1",NA,NA,NA,"TRUE","TRUE","FALSE","155"
"167","9d38e791","1998","FALSE","3",NA,NA,NA,"TRUE","TRUE","TRUE","210"
"168","9d38k301","2021","TRUE","4","jp23x26k","yz874x6w","vr84xgng","TRUE","TRUE","TRUE","185"
"169","9d38pw1l","1993","FALSE","1","qdnqkn8k","l4ep39zr","e2n9ywrx","TRUE","TRUE","TRUE","98"
"170","9d38vw1l","2005","FALSE","3",NA,NA,NA,"TRUE","TRUE","TRUE","85"
"171","9d3evg1l","2015","FALSE","7","qdnqekn8","y4zwm26k","z6qqqg69","TRUE","TRUE","TRUE","172"
"172","9d3exw1l","1992","FALSE","23","el286onr","ynzm5ge0","19neqqn5","TRUE","TRUE","TRUE","330"
"173","9d3loedl","2013","TRUE","1","el289knr","nelx25e2",NA,"TRUE","TRUE","TRUE","44"
"174","9d3qv91l","2014","TRUE","1",NA,NA,NA,"TRUE","TRUE","TRUE","32"
"175","9d3r2wdl","2013","FALSE","2","qdnqkn8k","4zwvod6k","vr842yng","TRUE","TRUE","TRUE","146"
"176","9d3r3gdl","2014","TRUE","2",NA,"k62dq7ex",NA,"TRUE","FALSE","FALSE","456"
"177","9d3r70ed","1987","FALSE","1","jp23x26k",NA,NA,"TRUE","TRUE","TRUE","162"
"178","9d3r7egd","1999","TRUE","14",NA,NA,NA,"TRUE","FALSE","TRUE","158"
"179","9d3r7gyd","2017","TRUE","2","72y1d62d","yzo19neq","dnlx9znl","TRUE","TRUE","FALSE","83"
"180","9d3r9edl","2010","FALSE","3","qdnqkn8k","rzj9916l","4dnll7nl","TRUE","TRUE","TRUE","751"
"181","9d3reryd","2017","TRUE","7","qdnqyk28","4ep8xr6r",NA,"TRUE","TRUE","FALSE","1736"
"182","9d3rmggd","2020","FALSE","9",NA,NA,NA,"TRUE","TRUE","FALSE","78"
"183","9d3rpowd","2018","FALSE","1","oy5gp5e3","k62vw7ex","q6dkolnz","TRUE","TRUE","FALSE","884"
"184","9d3rrw0d","2014","TRUE","1","r2roy82z","nel000e2","9ne0m9r5","TRUE","TRUE","FALSE","215"
"185","9d3rvzwd","2017","TRUE","2","94n4pn0w","4rzjlp6l","80601pnl","TRUE","TRUE","TRUE","2268"
"186","9d3rwned","2018","FALSE","1",NA,"qe5ojw6v","q6dwe2nz","TRUE","TRUE","FALSE","280"
"187","9d3wgy1l","2013","FALSE","1","qdnqkn8k",NA,NA,"TRUE","TRUE","FALSE","856"
"188","9d3wr91l","2006","FALSE","6","qdnqekn8","myzo3pzq","k564wnw1","TRUE","TRUE","FALSE","532"
"189","9do3e7dp","2011","FALSE","3","wr2l1n7p","yzo3opzq","8060ynlv","TRUE","TRUE","FALSE","368"
"190","9do4qe6p","2012","FALSE","1",NA,"jev7j8ek","l67qmgnv","TRUE","TRUE","FALSE","646"
"191","9do5k71p","1997","FALSE","3","wr2l1n7p","3ner756j","01ngpdnl","TRUE","TRUE","TRUE","46"
"192","9do5mk1p","1990","FALSE","8",NA,NA,NA,"TRUE","TRUE","TRUE","256"
"193","9do8jge1","2015","FALSE","3",NA,NA,NA,"TRUE","TRUE","TRUE","130"
"194","9do8mm1p","2009","FALSE","3","qdnqkn8k","xv6dvx62","m0rvylrx","TRUE","TRUE","FALSE","6920"
"195","9do8oqo1","2021","TRUE","4",NA,NA,NA,"TRUE","TRUE","FALSE","303"
"196","9do8p71p","2008","FALSE","2",NA,NA,NA,"TRUE","FALSE","TRUE","728"
"197","9do92odp","2014","FALSE","3","oq2712l7","nzmg25z0","lkryl5nv","TRUE","TRUE","FALSE","185"
"198","9dojrk6p","2004","FALSE","2","el28onrz","nerpj56j","m0rvylrx","TRUE","FALSE","TRUE","271"
"199","9dojze6p","2015","FALSE","4",NA,NA,NA,"TRUE","TRUE","TRUE","104"
"200","9dok231p","1993","FALSE","7","y45xk8nd","2jevn26k","2l6mj69e","TRUE","TRUE","TRUE","324"
"201","9dokge1p","1998","FALSE","5","94n44on0","5mzn8lzr","krxdel69","TRUE","TRUE","TRUE","3347"
