"","id","median_comment_length","mean_comment_length","number_of_runs","days_in_database","number_of_platforms_played_on","fraction_of_runs_played_on_emulated","number_unique_players","fraction_runs_by_unique_players","run_production_rate"
"1","2685e76p824xg7ndgame-level","64","102.057142857143","45","2404","3","0","44","0.977777777777778","0.0187188019966722"
"2","2685e76pmke0e8d6game-level","45","79.3090909090909","137","2504.04166666667","4","0","135","0.985401459854015","0.0547115496613808"
"3","2689591prklr48kngame-level","66.5","86.2459677419355","742","3155","2","0","741","0.998652291105121","0.235182250396197"
"4","2689591pwk6vyeedgame-level","85","181.789473684211","26","966.041666666667","1","0","26","1","0.0269139529868449"
"5","268ekxy6n2y7rvz2game-level","27.5","50.0515151515152","797","1086","4","0","789","0.989962358845671","0.733885819521179"
"6","268erm76vdoxgl9dgame-level","84","100.1","11","375","1","0","11","1","0.0293333333333333"
"7","268ex4o6w20ylqjkgame-level","37","93.9642857142857","82","1234.95833333333","3","0","43","0.524390243902439","0.0663990013158339"
"8","268n096pq25onggkgame-level","73","75.375","46","2217","3","0","46","1","0.0207487595850248"
"9","268q8o6p9kvo38j2game-level","21","33.9058823529412","192","835.958333333333","2","0.0208333333333333","192","1","0.229676518965259"
"10","268wlo6pxd13oxrkgame-level","98","132.578947368421","23","1366.04166666667","1","0","23","1","0.0168369681256672"
"11","29d30dlpjzd3y2nqgame-level","38","66.3636363636364","78","3133","3","0","78","1","0.024896265560166"
"12","29d30dlpl9kvjkgqgame-level","44","87.4615384615385","62","3338.95833333333","2","0","62","1","0.018568665377176"
"13","29d30dlpnxd1rk8qgame-level","46","70.455938697318","371","5141","5","0","371","1","0.0721649484536082"
"14","3698ngdlrklrw6kngame-level","50","67.5531914893617","60","2668.95833333333","1","0","60","1","0.0224806806650535"
"15","369p9l1l7kjzj3d3game-level","38","61.8771929824561","79","3047.95833333333","2","0.0126582278481013","79","1","0.0259189894874985"
"16","369pky817kj8o5gdgame-level","47","72.6","31","1559.95833333333","7","0.0645161290322581","31","1","0.0198723256497236"
"17","369pky819kv6l382game-level","65","77.1875","53","501.958333333333","8","0.169811320754717","53","1","0.105586453058853"
"18","369pky81n2y9e4edgame-level","78","96.2631578947368","58","1716","9","0.0517241379310345","58","1","0.0337995337995338"
"19","369pky81z274mp52game-level","70","64.45","29","989","8","0.137931034482759","29","1","0.0293225480283114"
"20","369pky81zdnlnm72game-level","55","78.5555555555556","21","1521.95833333333","7","0","21","1","0.013798012429162"
"21","369pp381wkpo3rw2game-level","107","169.2","13","1646","1","0","12","0.923076923076923","0.00789793438639125"
"22","369pp381xk9gv1ydgame-level","90","114.428571428571","50","1830","2","0","46","0.92","0.0273224043715847"
"23","369prm21824jpqe2game-level","145","181.111111111111","11","233.958333333333","1","0","11","1","0.0470169189670525"
"24","3dx2lw41rklrw4rkgame-level","47","48.8181818181818","22","956.041666666667","3","0","22","1","0.0230115493571584"
"25","3dx3yydy5dwqxndggame-level","92.5","123.454545454545","30","1409.04166666667","4","0","29","0.966666666666667","0.021291066623296"
"26","3dx57v1yq25rpjkogame-level","28","50.8823529411765","25","2284","5","0","22","0.88","0.0109457092819615"
"27","3dxe951y9kvq8oodgame-level","54","64.8181818181818","267","1923.95833333333","2","0.00374531835205993","267","1","0.13877639415268"
"28","3dxe951yrkl95lrkgame-level","54","69.5470588235294","234","1841","2","0.00427350427350427","234","1","0.127104834329169"
"29","3dxkz0v15dw1v5nkgame-level","58.5","83.5625","33","192","1","0","23","0.696969696969697","0.171875"
"30","3dxkz0v19kv83mjdgame-level","64","92.7650897226754","969","207","1","0","969","1","4.68115942028986"
"31","3dxkz0v1mkex8zxdgame-level","66","123.698113207547","82","206","1","0","82","1","0.398058252427184"
"32","3dxkz0v1ndx3qjodgame-level","84","107.842105263158","94","188","1","0","94","1","0.5"
"33","3dxl5ydy824x1nmdgame-level","26","34.3333333333333","51","2456","2","0","25","0.490196078431373","0.0207654723127036"
"34","3dxl5ydyjdz37l32game-level","27","33.7096774193548","43","2425","2","0","35","0.813953488372093","0.0177319587628866"
"35","46w0n91r02ql37pkgame-level","47.5","72.6242236024845","579","1824","1","0","579","1","0.317434210526316"
"36","46w0n91r5dwy905kgame-level","52","64.683908045977","375","1825","1","0","375","1","0.205479452054795"
"37","46w0n91r7dg5xzg2game-level","49","74.1412429378531","715","1832","1","0","715","1","0.39028384279476"
"38","46w0n91rmkejvej2game-level","38.5","58.1489361702128","362","1822","1","0","362","1","0.198682766190999"
"39","46w0n91rwkpq9pjdgame-level","49.5","82.9175824175824","366","1832","1","0","366","1","0.199781659388646"
"40","46w2wo76w20no45dgame-level","37.5","52.968085106383","136","40","1","0","136","1","3.4"
"41","46w305q1vdox671dgame-level","82.5","126.391304347826","77","539.958333333333","1","0","77","1","0.142603595956478"
"42","46w382n1zdn8npxdgame-level","119","124.964285714286","92","630","2","0.173913043478261","92","1","0.146031746031746"
"43","46w3ln1r7kjzlxd3game-level","45","63.6036036036036","277",NA,"1","0","277","1",NA
"44","46w3xjq1n2ygo8e2game-level","34","40.4705882352941","27","537.958333333333","3","0","25","0.925925925925926","0.0501897606691968"
"45","4d74xld7vdo9j1dpgame-level","46","67.3709677419355","97","2273.04166666667","1","0","97","1","0.0426740967499496"
"46","4d792331rklry48kgame-level","111","139.428571428571","54","517.041666666667","1","0","53","0.981481481481482","0.104440325570151"
"47","4d792331zd3xenrdgame-level","120","118.883333333333","68","543","1","0","67","0.985294117647059","0.125230202578269"
"48","4d794qg15dw8eggdgame-level","29","36.5789473684211","35","2064.04166666667","5","0","35","1","0.0169570220239417"
"49","4d794qg1wkpvl3vkgame-level","28","45.1730769230769","207","2139","4","0.0386473429951691","207","1","0.0967741935483871"
"50","4d7nw367wkpyz0jkgame-level","55","97.1714285714286","49","2748.04166666667","2","0.693877551020408","48","0.979591836734694","0.0178308795657514"
"51","4d7p4rd7jdr1nqn2game-level","52","105.516129032258","63","2506","5","0","63","1","0.0251396648044693"
"52","4d7y5zd77dgng872game-level","137","133.266666666667","20","843.958333333333","3","0","16","0.8","0.0236978523821279"
"53","4d7y5zd78241elw2game-level","48","70.75","20","521.041666666667","2","0","18","0.9","0.0383846461415434"
"54","4d7y5zd7zd3oymndgame-level","87","126.588235294118","21","492.958333333333","4","0","18","0.857142857142857","0.0425999492857747"
"55","4pd0k21exd1m68d8game-level","71","111.411764705882","408",NA,"7","0","408","1",NA
"56","4pd0k21ezd3ypn2ngame-level","86","161.090909090909","34","2861","3","0","34","1","0.011883956658511"
"57","4pdver6w9d866362game-level","58","95.6444444444444","62","2839","7","0","62","1","0.0218386755899965"
"58","4pdver6wjdrpq026game-level","68","99.699481865285","281",NA,"8","0","281","1",NA
"59","4pdver6wjdz53xdvgame-level","85","157.954545454545","36",NA,"6","0","36","1",NA
"60","4pdvgodw9kv7nokggame-level","36","45.8714285714286","138","2689.95833333333","1","0.27536231884058","138","1","0.0513019098808842"
"61","4pdvgodwzd38q8kngame-level","35","50.009900990099","185","2698.95833333333","1","0.291891891891892","185","1","0.0685449633346198"
"62","576rzld87kjrox23game-level","45","63.9126213592233","144",NA,"4","0.534722222222222","144","1",NA
"63","576rzld8xk9lwyk0game-level","39","76.5128205128205","49",NA,"4","0.36734693877551","49","1",NA
"64","76r3q46802q3vykygame-level","56.5","73.6666666666667","54","3124.04166666667","1","0.425925925925926","53","0.981481481481482","0.0172853008255865"
"65","76r3q468jdz9wg2vgame-level","50","71.5170068027211","206","3850","1","0.446601941747573","201","0.975728155339806","0.0535064935064935"
"66","76r3y856mkey8x62game-level","35","49.7731958762887","307","1672","2","0","303","0.986970684039088","0.183612440191388"
"67","76r9846802qj3z9dgame-level","64","98.578947368421","57","4006","1","0","57","1","0.0142286570144783"
"68","76rjrq189kv3n02ggame-level","76","107.888888888889","23","2634","2","0","21","0.91304347826087","0.00873196659073652"
"69","76rkwed8ndxmj4r2game-level","60","90.8148148148148","32","1808","3","0","32","1","0.0176991150442478"
"70","76rkwed8xd1erv42game-level","62.5","92.2950819672131","160","1841.95833333333","3","0","160","1","0.0868640713009252"
"71","76rkwed8zd360xvdgame-level","83","99.6315789473684","22","1798","2","0","22","1","0.0122358175750834"
"72","76rq8vd8mkejq592game-level","39","62.8846153846154","33","1823","2","0","33","1","0.018102029621503"
"73","8m1zzm10zd3lvmvdgame-level","54","67.3333333333333","18","1646.04166666667","2","0.555555555555556","18","1","0.0109353246424503"
"74","8nd20r609d8z16dngame-level","43","56.7368421052632","26","2579.95833333333","3","0","25","0.961538461538462","0.0100776821331094"
"75","946w031rwkpyr1jkgame-level","74.5","98","44","2619.95833333333","3","0","44","1","0.0167941602124716"
"76","946wk96rndx8lvkqgame-level","60","89.8666666666667","66","2640.95833333333","6","0","65","0.984848484848485","0.0249909281668586"
"77","9d385g1lxk98yv20game-level","65.5","86.5","83","3089.95833333333","2","0","83","1","0.0268612036300382"
"78","9d385vg102qrv0zkgame-level","22","30.2857142857143","33","89.9583333333333","3","0","32","0.96969696969697","0.366836498378879"
"79","9d385vg1jdrnlm0kgame-level","24.5","31.5454545454545","49","101.958333333333","2","0","47","0.959183673469388","0.480588475684512"
"80","9d385vg1jdznwjxdgame-level","31","28.7142857142857","45","98.9583333333333","3","0","44","0.977777777777778","0.454736842105263"
"81","9d385vg1q251mvwdgame-level","24","47","45","92.9583333333333","3","0","44","0.977777777777778","0.484087852980726"
"82","9d385vg1q251xvwdgame-level","19","26.5714285714286","26","87.9583333333333","3","0.0384615384615385","26","1","0.295594504973946"
"83","9d385vg1xk9xvmxkgame-level","34","39.75","11","50","2","0","10","0.909090909090909","0.22"
"84","9d385vg1zdny8v7kgame-level","21","35.1777777777778","84","101.958333333333","2","0","81","0.964285714285714","0.823865958316306"
"85","9d38e2g1xk9x0vvkgame-level","180","195.119047619048","84","1612.04166666667","1","0","84","1","0.0521078342681382"
"86","9d3r70ed02qlqnykgame-level","71.5","138.233333333333","36","2576","1","0.611111111111111","36","1","0.0139751552795031"
"87","9d3rpowdwk60p9qkgame-level","38","65.3529411764706","46","407.958333333333","1","0","46","1","0.112756613216219"
"88","9d3rvzwd02q3q97kgame-level","42","57.1047619047619","156","964","2","0.0192307692307692","138","0.884615384615385","0.161825726141079"
"89","9d3rvzwd5dw4095kgame-level","37.5","55.9259259259259","136","1103","2","0.00735294117647059","94","0.691176470588235","0.123300090661831"
"90","9d3rvzwd7kj3q1x2game-level","58.5","68.2627118644068","156","903.958333333333","2","0.00641025641025641","156","1","0.17257432588154"
"91","9d3rvzwdjdrvq8n2game-level","41","53","22","946","2","0","22","1","0.0232558139534884"
"92","9d3wgy1lw208nvdngame-level","56","83.2820512820513","53","3205","1","0","53","1","0.0165366614664587"
"93","9do3e7dpwdmz4wx2game-level","63","90.030303030303","42","2004.04166666667","3","0","42","1","0.0209576480861592"
"94","9do8mm1p7kjr9nx2game-level","36","80.0363636363636","73","2096","2","0","73","1","0.0348282442748092"
"95","9do8mm1pzdnqyjqdgame-level","65.5","84.7777777777778","226","3282","2","0","199","0.880530973451327","0.068860450944546"
"96","9do8p71p02q3wjkygame-level","76","88.037037037037","36","2320.04166666667","2","0","36","1","0.0155169626982274"
"97","9do92odpvdo4x3o2game-level","98","106","12","1932.04166666667","1","0","12","1","0.00621104617308978"
"98","9dokge1pwkpne0drgame-level","72","87.6896551724138","49",NA,"4","0.0408163265306122","49","1",NA
"99","9dokge1pzd3qonkngame-level","52","87.6224066390042","379",NA,"5","0.0923482849604222","379","1",NA
"100","9dow9e1pjdz89gdvgame-level","31","63.7460317460317","118",NA,"1","0.0508474576271186","118","1",NA
"101","9dow9e1pq25qqv2ogame-level","64","99.7538461538462","113",NA,"1","0.079646017699115","113","1",NA
"102","9dow9rm19kvog532rdq50l2d","21","31.0769230769231","17","586.958333333333","1","0.0588235294117647","17","1","0.0289628735713779"
"103","9dow9rm1wdmx1x4kgame-level","30","50","71","755.958333333333","2","0","71","1","0.0939205203108637"
"104","9dowpe1pvdo3l9dpgame-level","85.5","137.1","72","2627.95833333333","3","0","48","0.666666666666667","0.0273976946615719"
"105","9j1l576gq2540wdogame-level","73","154.909090909091","28","3156","4","0","28","1","0.00887198986058302"
"106","j1l7kedg9kvx31o2game-level","62","70.5333333333333","23","1718.95833333333","4","0.217391304347826","22","0.956521739130435","0.0133801963398376"
"107","j1ll5le1zdnyqp9kgame-level","123","124.846153846154","19","518.041666666667","2","0","14","0.736842105263158","0.0366765865036596"
"108","j1ll8jv1rkljox8dgame-level","37","56.0431893687708","510","1321","1","0","510","1","0.386071158213475"
"109","j1ll8jv1xk9nzlg2z98np819","20","22.8","25","1171.95833333333","1","0","25","1","0.0213318164041668"
"110","j1lq546g5dw1570kgame-level","88.5","143.461538461538","31","2584","2","0","24","0.774193548387097","0.0119969040247678"
"111","j1n8q9l17kj90gn2game-level","45","72.9272727272727","126","55.9583333333333","1","0","126","1","2.25167535368578"
"112","j1ne4y91rklq1l62game-level","51","74.6136363636364","58","1508.95833333333","1","0","58","1","0.0384371116940494"
"113","j1neozx1wkp04lg2game-level","73","104.506849315068","113","429.958333333333","9","0","100","0.884955752212389","0.262816164357011"
"114","j1ng5w6pmke6yjd6game-level","154","154.3","29","4004","4","0.724137931034483","29","1","0.00724275724275724"
"115","j1ngme6pwk6w70o2game-level","120","127.7","31","2543.04166666667","3","0.032258064516129","31","1","0.0121901266527944"
"116","j1npme6p9d86nz62game-level","76","100.289655172414","153","3148.04166666667","1","0","153","1","0.0486016438791312"
"117","j1npme6pxd114pzdgame-level","364","374","11","165","1","0","9","0.818181818181818","0.0666666666666667"
"118","j1npme6pzd301qedgame-level","91","131.226628895184","735","2772.04166666667","1","0","615","0.836734693877551","0.265147529648725"
"119","j1nqoy1pzd30e6vd5wkk0z2w","135","143.7","13","2049.95833333333","4","0","13","1","0.00634159230878676"
"120","j1nqoy1pzd30e6vdgdrprm6w","38.5","70.6666666666667","24","2290.95833333333","5","0","24","1","0.0104759652983649"
"121","j1nqoy1pzd30e6vdywe20ryw","59","140.5","14","2145","5","0","14","1","0.00652680652680653"
"122","j1nqoy1pzdn0zq72game-level","171.5","274.071428571429","31","1403","4","0","26","0.838709677419355","0.0220955096222381"
"123","jy65301e02qljx7kgame-level","47","85.1891891891892","68","1454","1","0","68","1","0.046767537826685"
"124","jy65301ezd37yme2game-level","45","61.4137931034483","44","2828.04166666667","1","0","44","1","0.0155584694944971"
"125","k6q474zd8240o13dgame-level","171","154.487690504103","882","601","2","0.0136054421768707","882","1","1.4675540765391"
"126","k6q4kzdg7dg8xn425920qp3d","49","69","21","2338.95833333333","2","0.0476190476190476","21","1","0.00897835574953238"
"127","k6q4yozd9kv7yjjkrdnr0rqw","70","70","10","716.041666666667","3","0","9","0.9","0.0139656677334885"
"128","k6qgnmdg02ql5m9k29vmooq9","19","33.4705882352941","70","1193.95833333333","1","0","70","1","0.0586285116035596"
"129","k6qgnmdg02ql5m9kgdre30e9","29.5","41.4166666666667","45","1200.95833333333","1","0","40","0.888888888888889","0.0374700759809874"
"130","k6qgnmdg02ql5m9kn93q6v2w","25","29.6111111111111","62","1169","1","0","62","1","0.0530367835757057"
"131","k6qgnmdg02ql5m9ko9xz1j3w","33","36.4","30","958","1","0","30","1","0.0313152400835073"
"132","k6qgnmdg02ql5m9kr9g3mp5w","34.5","38","44","1802","1","0","44","1","0.0244173140954495"
"133","k6qgnmdg02ql5m9kr9gxek5w","28.5","43.0833333333333","22","1085","1","0","22","1","0.0202764976958525"
"134","k6qgnmdg02ql5m9kxd0kzzm9","34","51.3333333333333","75","1187.95833333333","1","0","75","1","0.0631335274104732"
"135","k6qgnmdg02ql5m9kxd134r59","36","76.5555555555556","24","834","1","0","24","1","0.0287769784172662"
"136","k6qgnmdg02ql5m9kxd40qqq9","31","57.3818181818182","121","1313","2","0","121","1","0.0921553693830922"
"137","k6qgnmdg02ql5m9kz98r1yrd","32","34.6666666666667","41","1190.95833333333","1","0","41","1","0.0344260574467341"
"138","k6qgnmdg7dg9n7lkgame-level","57","89.4048582995951","374","1586.95833333333","6","0","323","0.863636363636364","0.235670963845932"
"139","kdk5e2dmjdrpj7x2game-level","64","93.9009900990099","144","1847","7","0","144","1","0.0779642663779101"
"140","kdk5e2dmw20zj3odgame-level","64","69.3448275862069","32","1647.95833333333","4","0","32","1","0.0194179666759374"
"141","kdkqxgdmwdm9mxkqgame-level","86","133.333333333333","88","2612.95833333333","4","0","85","0.965909090909091","0.0336783020522715"
"142","kdkxgg6m9kvmwxokgame-level","104","205","13","1678","2","0.0769230769230769","13","1","0.00774731823599523"
"143","kdkzvmldn2y5pv7kgame-level","56","63.8965517241379","52","1232","3","0.519230769230769","51","0.980769230769231","0.0422077922077922"
"144","kdkzvzldzd3638rdgame-level","101","113.608695652174","31","1371.04166666667","2","0","30","0.967741935483871","0.0226105455098009"
"145","kyd49x1e7dggn7d4game-level","31","62.4411764705882","49","2711.95833333333","2","0","42","0.857142857142857","0.0180681242029898"
"146","kyd4pxde824p8g25game-level","56.5","88.6478873239437","183",NA,"1","0.00546448087431694","183","1",NA
"147","kyd4pxdejdrq3ggkgame-level","57","83.5897435897436","69","2643.95833333333","1","0.0289855072463768","69","1","0.0260972342604996"
"148","kyd4pxdevdo4yv2pgame-level","38","57.9428571428571","121","2794.04166666667","1","0.0165289256198347","121","1","0.0433064407891794"
"149","kyd4pxdezdnwj6edgame-level","51","69.7692307692308","139","2872","1","0.0215827338129496","139","1","0.0483983286908078"
"150","l3dx4g6y7dg6olk4game-level","38","38.3333333333333","30","2752","4","0.0666666666666667","29","0.966666666666667","0.0109011627906977"
"151","l3dxny1ywkpy9wkrgame-level","36.5","66.741935483871","105",NA,"7","0.171428571428571","105","1",NA
"152","l3dxogdyjdrqy7lkgame-level","49","70","145","2250.95833333333","2","0","125","0.862068965517241","0.0644170075708494"
"153","l3dxogdywk68zp21game-level","71.5","103.069377990431","640","4469.95833333333","3","0","559","0.8734375","0.143178068401085"
"154","l3dxogdyzd30z7rdgame-level","50","66.6785714285714","84","4897","2","0","71","0.845238095238095","0.0171533591995099"
"155","lde3nex69d8xnz32game-level","53.5","86.9444444444444","126","51","2","0","126","1","2.47058823529412"
"156","lde3r2l6ndx4nzo2game-level","25.5","36.25","23","493.041666666667","3","0","20","0.869565217391304","0.0466492013859545"
"157","lde3v3x602qvy0jdgame-level","65","76.1509433962264","85","533.958333333333","1","0","85","1","0.159188451033945"
"158","lde3z9l6xd17m77dgame-level","91.5","101.946428571429","75","1350.04166666667","4","0","75","1","0.0555538409308355"
"159","ldej3o51824l9qgdgame-level","116","128.333333333333","304","332","7","0.00328947368421053","293","0.963815789473684","0.91566265060241"
"160","ldej3o519d8on532game-level","116","118.038461538462","88","335","5","0","83","0.943181818181818","0.262686567164179"
"161","ldejjmj182484nmkgame-level","25","70.0588235294118","23","44.9583333333333","3","0","21","0.91304347826087","0.511584800741427"
"162","ldemjl13ndx8xljkgame-level","33","53.0691699604743","1084","3524","2","0","835","0.77029520295203","0.307604994324631"
"163","ldemjl13rklg6mwdgame-level","49","72.26","60","2618.95833333333","1","0","60","1","0.0229098719274521"
"164","ldemjl13z277x442game-level","31","104.4","16","1694","1","0","16","1","0.00944510035419126"
"165","m1m2oxd25dwpp7ekgame-level","52","78.7297297297297","77","2151","4","0","67","0.87012987012987","0.0357973035797304"
"166","m1m2oxd27kjzg3gdgame-level","39","54.1470588235294","82","1776","3","0","78","0.951219512195122","0.0461711711711712"
"167","m1m2oxd29kvpggjkgame-level","93","96.0393258426966","305","2361.95833333333","5","0","271","0.888524590163934","0.129130135657205"
"168","m1m2oxd2jdz34wr2game-level","58","80.1354166666667","207","2305.95833333333","5","0","189","0.91304347826087","0.0897674502647128"
"169","m1m2oxd2z273wr5dgame-level","44","63.735632183908","201","2308.95833333333","4","0","190","0.945273631840796","0.0870522421726969"
"170","m1m7pp129kvn60dggame-level","43","59.5964912280702","91","2734.95833333333","3","0","89","0.978021978021978","0.0332729017809534"
"171","m1mgkj12zdn8l8edgame-level","58","94.4444444444444","14","1759","1","0","14","1","0.00795906765207504"
"172","m1mjnk129kvpyw0kgame-level","49","64.8571428571429","51","2380.04166666667","2","0","51","1","0.021428196285079"
"173","m1mnjexdzd3qj78kgame-level","88.5","115","38","89.9583333333333","1","0","38","1","0.422417786012043"
"174","m1mr7j62wkpq8x0dgame-level","83.5","96.45","52","1592.04166666667","4","0","52","1","0.0326624617236777"
"175","m1mx4jx6wdmx463kgame-level","62","84.2083333333333","32","853.041666666667","2","0","21","0.65625","0.0375128217652518"
"176","m1mx75p6mker558dgame-level","34","45.4552845528455","199","1764.04166666667","3","0","191","0.959798994974874","0.112809126768548"
